"gender","Dependents","tenure","PhoneService","MultipleLines","InternetService","StreamingTV","StreamingMovies","Contract","PaymentMethod","MonthlyCharges","TotalCharges","DailyCharges","Churn"
"Female","No",18,"Yes","No","Fiber optic","Yes","Yes","Month-to-month","Electronic check",96.05,1740.7,19.21,"Yes"
"Male","No",28,"Yes","Yes","Fiber optic","No","Yes","Month-to-month","Credit card (automatic)",94.5,2659.4,18.9,"Yes"
"Male","Yes",3,"Yes","No","Fiber optic","Yes","No","Month-to-month","Electronic check",89.85,248.4,17.97,NA
"Female","Yes",72,"Yes","Yes","No","No internet service","No internet service","Two year",NA,24.9,1859.2,4.98,"No"
"Female","No",1,"No","No phone service","DSL","No","No","Month-to-month","Electronic check",24.6,24.6,4.92,"Yes"
"Female","No",64,"Yes","No","Fiber optic",NA,"No","Two year","Electronic check",80.45,1415.425,16.09,"Yes"
"Male","Yes",19,"No","No phone service","DSL","No","No","Month-to-month",NA,34.95,610.2,6.99,"No"
"Male","No",36,NA,NA,"No","No internet service","No internet service","One year","Mailed check",20,666.75,4,"No"
"Male","No",7,"Yes",NA,"DSL","No","No","Month-to-month","Bank transfer (automatic)",44.65,322.5,8.93,"No"
"Female","Yes",10,"Yes","No","No","No internet service","No internet service","Two year",NA,20.15,220.8,4.03,"No"
"Female","No",37,"No","No phone service","DSL",NA,"No","Month-to-month","Credit card (automatic)",28.6,973.55,5.72,"Yes"
"Female","No",12,"Yes","No","Fiber optic","No","Yes","Month-to-month","Electronic check",70.3,3147.15,14.05,"No"
"Male","No",4,"Yes","No",NA,"No","No","Month-to-month","Electronic check",69.35,1415.425,13.87,"No"
"Male","No",10,NA,"No",NA,"No","No","Month-to-month","Electronic check",75.3,720.45,15.06,NA
"Male","No",7,NA,NA,"No","No internet service","No internet service","Two year","Mailed check",19.45,165.35,3.89,NA
"Female","No",12,"Yes","Yes","Fiber optic","Yes","No","Month-to-month","Electronic check",84.95,1378.25,16.99,"Yes"
"Female","No",8,"Yes","No","Fiber optic","Yes","No","Month-to-month","Bank transfer (automatic)",80,624.6,16,"No"
"Male","Yes",1,NA,NA,"DSL","No","No",NA,"Electronic check",49.75,49.75,9.95,"No"
"Female","Yes",36,"Yes","No","No","No internet service","No internet service",NA,NA,19.2,702.9,3.84,"No"
"Male","No",44,"Yes","Yes","Fiber optic","Yes",NA,"Month-to-month",NA,70.3,4915.15,14.05,"No"
"Female","No",44,"No","No phone service","DSL","No","Yes","One year","Bank transfer (automatic)",44.1,2369.7,8.82,"No"
"Male","Yes",12,"Yes",NA,"No","No internet service","No internet service","Month-to-month",NA,21.05,235.8,4.21,"No"
"Female","Yes",47,"No","No phone service","DSL","No","No","Two year","Mailed check",70.3,1875.25,14.05,"No"
"Male","No",26,"Yes","No","No","No internet service","No internet service","One year","Credit card (automatic)",20.65,595.5,4.13,"No"
"Female","No",63,"Yes","No","DSL","Yes","Yes","One year",NA,84,1415.425,16.8,"No"
"Male","No",10,"Yes","No","Fiber optic",NA,"No","Month-to-month",NA,79.85,887.35,15.97,"No"
"Female","No",63,"Yes","Yes",NA,"Yes","Yes",NA,"Electronic check",103.5,6479.4,20.7,"No"
"Female","No",27,"Yes","No","No","No internet service","No internet service","Two year","Mailed check",19.6,561.15,3.92,"No"
"Male","No",38,"Yes","No","Fiber optic",NA,"No","Month-to-month",NA,69.5,2625.25,13.9,"No"
"Female","No",1,"Yes","Yes","Fiber optic","Yes",NA,NA,"Electronic check",84.6,84.6,16.92,"No"
"Female","No",71,"Yes","Yes","DSL","Yes","Yes","Two year","Electronic check",90.1,6310.9,18.02,"No"
"Female","No",65,"Yes","No","DSL","No",NA,NA,"Credit card (automatic)",58.9,3857.1,11.78,NA
"Male","No",58,NA,"No","No","No internet service","No internet service","Two year","Mailed check",20.8,1212.25,4.16,"No"
"Female","Yes",58,"Yes","No","DSL","No","No","One year","Mailed check",44.1,2413.05,8.82,NA
"Female","No",37,"Yes","Yes","Fiber optic",NA,"No","Month-to-month","Electronic check",76.25,1415.425,15.25,"Yes"
"Male","No",2,"No","No phone service","No","No internet service","No internet service",NA,NA,24.9,49.7,4.98,"No"
"Female","No",63,"Yes","Yes","Fiber optic","Yes","Yes","Two year","Bank transfer (automatic)",97.45,6253,19.49,"No"
"Female","No",1,"Yes","No","DSL","No","No","Month-to-month","Electronic check",54.9,1415.425,10.98,"Yes"
"Female","No",38,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month","Electronic check",103.65,3988.5,20.73,"No"
"Female","No",1,"Yes","No","No","No internet service","No internet service","Month-to-month","Mailed check",19.5,19.5,3.9,"Yes"
"Male","No",69,"Yes","No","DSL","No","No","One year","Bank transfer (automatic)",59.1,4134.7,11.82,"No"
"Male","No",56,"Yes","No","DSL","Yes","Yes","Two year","Bank transfer (automatic)",85.65,1415.425,17.13,"No"
"Male","No",72,"Yes","Yes","DSL","Yes","Yes","Two year","Credit card (automatic)",70.3,6362.35,14.05,"No"
"Male","Yes",29,"Yes","No","No","No internet service","No internet service","Month-to-month","Mailed check",20.65,654.85,4.13,"No"
"Male","Yes",71,"Yes","Yes","Fiber optic","Yes","Yes","Two year","Bank transfer (automatic)",114,8175.9,22.8,"No"
"Male","No",69,"Yes","Yes","Fiber optic","Yes","Yes","Two year","Bank transfer (automatic)",70.3,7318.2,14.05,"Yes"
"Female","Yes",27,"Yes",NA,"Fiber optic","No","Yes","Month-to-month","Bank transfer (automatic)",90.15,2423.4,18.03,"No"
"Female","Yes",72,NA,"No","DSL","No","Yes","Two year","Credit card (automatic)",68.75,4888.2,13.75,"No"
"Female","No",20,"Yes","No","No","No internet service","No internet service",NA,"Mailed check",20.35,442.6,4.07,"No"
"Male","No",1,"Yes","No","DSL",NA,"No","Month-to-month","Mailed check",45.85,45.85,9.17,"Yes"
"Male","Yes",32,"Yes","Yes","DSL","Yes","Yes","One year","Credit card (automatic)",83.7,2633.3,16.74,"No"
"Female","Yes",72,"Yes","Yes","No","No internet service","No internet service",NA,"Bank transfer (automatic)",70.3,1787.35,14.05,"No"
"Female","No",32,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month","Electronic check",93.2,2931,18.64,"Yes"
"Female","No",64,"Yes",NA,"Fiber optic","Yes","Yes","Two year","Electronic check",108.4,7719.5,21.68,"No"
"Male","Yes",62,"Yes","No","DSL","No","No","One year","Bank transfer (automatic)",56.15,1415.425,11.23,"No"
"Male","No",64,"Yes","Yes","DSL","Yes","Yes","Two year","Credit card (automatic)",86.55,5632.55,17.31,"No"
"Female","No",15,"Yes",NA,"Fiber optic","Yes","No","Month-to-month","Electronic check",86.2,1270.2,17.24,NA
"Female","No",1,NA,"No","DSL","No","No","Month-to-month","Electronic check",44.1,44.1,8.82,"Yes"
"Female","No",57,"No","No phone service","DSL","No","Yes","Month-to-month","Bank transfer (automatic)",49.9,2782.4,9.98,"No"
"Female","No",1,"Yes","No","No","No internet service","No internet service",NA,"Mailed check",19.5,19.5,3.9,"No"
"Male","No",3,NA,"No","No","No internet service","No internet service","Month-to-month","Mailed check",70.3,72,14.05,"No"
"Male","No",71,"Yes","Yes","Fiber optic","Yes","Yes","Two year","Credit card (automatic)",108.6,7690.9,21.72,"Yes"
"Female","Yes",10,"Yes","No","DSL",NA,"No",NA,"Electronic check",54.25,1415.425,10.85,"No"
"Female","Yes",72,"Yes","No","No","No internet service","No internet service","Two year","Mailed check",20.7,1482.3,4.14,"No"
"Male","Yes",28,"Yes","No","No","No internet service","No internet service",NA,NA,20.3,487.95,4.06,"No"
"Female","Yes",18,"Yes","No","DSL","Yes",NA,"Month-to-month","Mailed check",70.3,1082.8,14.05,"No"
"Male","Yes",60,"Yes","No","DSL",NA,"No","One year","Bank transfer (automatic)",65.85,3928.3,13.17,"No"
"Male","Yes",29,"Yes","Yes","DSL","Yes","Yes","Month-to-month","Credit card (automatic)",80.1,2211.8,16.02,NA
"Female","Yes",41,"Yes","No","No","No internet service","No internet service","Two year","Bank transfer (automatic)",19.7,804.25,3.94,"No"
"Male","Yes",1,"No","No phone service","DSL","No","No","Month-to-month","Electronic check",24.75,24.75,4.95,"Yes"
"Female","No",12,"Yes","No","No","No internet service","No internet service","Month-to-month","Mailed check",20,109.2,4,"No"
"Female","No",66,"Yes","No","DSL","Yes","No","Two year","Electronic check",59.75,3996.8,11.95,"No"
"Female","No",36,"Yes",NA,"Fiber optic","No","No",NA,"Bank transfer (automatic)",74.9,1415.425,14.98,"No"
"Female","Yes",12,"Yes","Yes","Fiber optic","No","Yes","Month-to-month","Bank transfer (automatic)",99.7,1238.45,19.94,"Yes"
"Male","Yes",55,"Yes","Yes",NA,"No","No","Month-to-month","Electronic check",85.1,1415.425,17.02,NA
"Female","Yes",44,"Yes","No","No","No internet service","No internet service","One year","Mailed check",20.05,951.55,4.01,"No"
"Male","No",15,"Yes","No","No","No internet service","No internet service","Month-to-month","Electronic check",20,288.05,4,"Yes"
"Female","No",45,"Yes","Yes","No","No internet service","No internet service","Two year",NA,25.5,1121.05,5.1,NA
"Male","No",1,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month","Electronic check",94,1415.425,18.8,"Yes"
"Male","Yes",64,"Yes","No","DSL","No","No","Two year","Credit card (automatic)",64.05,1415.425,12.81,"No"
"Male","No",3,"Yes","No","No","No internet service","No internet service","One year",NA,70.3,52.05,14.05,"No"
"Female","Yes",63,"Yes","Yes","Fiber optic","Yes","No","Two year","Credit card (automatic)",98,6218.45,19.6,"No"
"Female","No",49,"Yes","Yes","Fiber optic",NA,"No",NA,"Electronic check",84.5,4254.85,16.9,"Yes"
"Female","No",29,"Yes",NA,"DSL","No",NA,NA,"Bank transfer (automatic)",53.8,1415.425,10.76,"No"
"Male","No",67,"No","No phone service","DSL","Yes","No","Two year","Electronic check",43.9,3097.2,8.78,"No"
"Female","No",72,"Yes","Yes",NA,"Yes","Yes",NA,"Credit card (automatic)",110.65,8065.65,22.13,"No"
"Male","No",64,"Yes",NA,"DSL","Yes","Yes","Two year","Bank transfer (automatic)",86.7,1415.425,17.34,"No"
"Female","No",5,"Yes","No","DSL","No","No","Month-to-month","Credit card (automatic)",44.05,202.15,8.81,NA
"Male","No",32,"Yes","Yes","Fiber optic","No","Yes","Month-to-month","Bank transfer (automatic)",85.65,2664.3,17.13,"No"
"Male","No",50,"Yes","Yes","DSL","No",NA,"Two year","Bank transfer (automatic)",69.5,3418.2,13.9,"No"
"Male","No",1,"Yes","No","No","No internet service","No internet service","Month-to-month","Mailed check",19.05,1415.425,3.81,NA
"Male","No",7,"Yes","Yes","Fiber optic","Yes","No","Month-to-month","Electronic check",90.45,593.45,18.09,"Yes"
"Male","No",1,"Yes","No","DSL","No",NA,"Month-to-month","Mailed check",45.7,45.7,9.14,"Yes"
"Male","No",10,"Yes","Yes","Fiber optic","Yes","Yes",NA,"Electronic check",98.5,1037.75,19.7,"Yes"
"Female","No",56,"Yes","No","No","No internet service","No internet service","Two year","Bank transfer (automatic)",19.7,1051.9,3.94,"No"
"Female","No",72,"Yes",NA,"Fiber optic","Yes","Yes","Two year","Bank transfer (automatic)",70.3,7878.3,14.05,"No"
"Female","Yes",13,"Yes","No",NA,"No","No","One year","Mailed check",55.15,742.9,11.03,NA
"Female","No",44,"Yes","No","DSL","Yes","Yes","One year","Mailed check",78.2,1415.425,15.64,NA
"Male","No",9,NA,NA,"No","No internet service","No internet service","One year",NA,20.15,163.7,4.03,"No"
"Male","No",13,"No","No phone service","DSL","No","No","Month-to-month","Bank transfer (automatic)",25.15,331.85,5.03,"No"
"Female","No",2,"Yes","Yes","DSL","No","No","Month-to-month","Mailed check",54.35,117.05,10.87,"No"
"Male","No",44,NA,"No","Fiber optic","No","Yes","One year","Electronic check",93.55,3055.5,18.71,"No"
"Female","Yes",48,"No","No phone service","DSL","No","No",NA,"Mailed check",70.3,1978.65,14.05,NA
"Male","No",1,"Yes","Yes","Fiber optic","Yes","No","Month-to-month","Electronic check",86.05,86.05,17.21,NA
"Female","Yes",4,NA,"No","No","No internet service","No internet service","Month-to-month","Bank transfer (automatic)",20.05,85.5,4.01,"No"
"Male","Yes",61,"Yes","Yes",NA,NA,"Yes","Two year","Mailed check",69.9,4226.7,13.98,"No"
"Male","Yes",54,"Yes","Yes","Fiber optic","Yes","Yes","One year","Electronic check",70.3,5637.85,14.05,"No"
"Female","No",21,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month","Electronic check",97.35,2119.5,19.47,"Yes"
"Female","No",7,"Yes","Yes","No","No internet service","No internet service",NA,"Bank transfer (automatic)",25.05,152.95,5.01,"No"
"Male","Yes",19,"No","No phone service","DSL","No","No","Month-to-month","Mailed check",24.85,1415.425,4.97,"No"
"Female","Yes",34,"Yes","No",NA,"Yes","No","Two year","Credit card (automatic)",67.65,1415.425,13.53,"No"
"Female","No",1,"Yes","No","No","No internet service","No internet service","Month-to-month","Mailed check",20.4,20.4,4.08,"Yes"
"Female","No",1,"Yes",NA,NA,"No","No","Month-to-month","Mailed check",70.3,83.4,2,"No"
"Male","No",22,"Yes","Yes",NA,"No","Yes","Month-to-month","Electronic check",70.3,1799.3,14.05,"No"
"Female","Yes",11,"No","No phone service","DSL","No","No","Month-to-month","Electronic check",29.6,346.45,5.92,"No"
"Female","No",43,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month","Electronic check",101,4388.4,20.2,"Yes"
"Male","Yes",64,"Yes","Yes","No","No internet service","No internet service","Two year","Mailed check",24.55,1160.45,4.91,"No"
"Female","No",72,"Yes","Yes","Fiber optic","Yes",NA,"Two year","Credit card (automatic)",108.05,7806.6,21.61,"No"
"Female","No",18,"Yes","Yes","Fiber optic","No",NA,"Month-to-month","Electronic check",74.15,1345.75,14.83,"No"
"Female","No",15,"Yes","Yes","No","No internet service","No internet service","Month-to-month","Credit card (automatic)",25.4,399.6,5.08,"Yes"
"Male","No",8,"Yes","No","DSL","Yes",NA,"Month-to-month","Electronic check",66.65,520.95,13.33,"No"
"Male","Yes",28,"Yes","No","Fiber optic","Yes","Yes","One year","Bank transfer (automatic)",100.35,2799,20.07,"No"
"Male","Yes",58,"Yes","Yes","Fiber optic","Yes","Yes","One year","Bank transfer (automatic)",105.05,1415.425,21.01,"No"
"Female","No",65,NA,"No",NA,"No","No","Month-to-month","Mailed check",55.15,3673.15,11.03,"No"
"Male","No",2,"Yes","No","No","No internet service","No internet service","Month-to-month","Electronic check",19.9,57.4,3.98,"No"
"Male","No",70,"Yes",NA,"Fiber optic","Yes","Yes","Month-to-month","Electronic check",102.95,7101.5,20.59,"Yes"
"Male","No",29,"Yes","No","Fiber optic","Yes","Yes","Month-to-month","Credit card (automatic)",98.8,2807.1,19.76,"No"
"Male","No",12,"Yes","Yes","Fiber optic","No","No","Month-to-month","Credit card (automatic)",74.2,1133.9,14.84,"Yes"
"Male","Yes",22,"Yes","No","DSL","Yes","No","One year","Bank transfer (automatic)",67.5,1544.05,13.5,"Yes"
"Female","No",12,"Yes","No","Fiber optic","Yes","Yes","Month-to-month","Electronic check",95.35,660.9,19.07,"Yes"
"Female","No",44,NA,"No","No","No internet service","No internet service","One year","Mailed check",20.35,617.35,4.07,"No"
"Female","Yes",12,"Yes","No","DSL",NA,"No","Month-to-month","Electronic check",55.15,1206.05,11.03,"Yes"
"Female","No",1,"Yes",NA,"Fiber optic","No","No","Month-to-month","Electronic check",68.65,68.65,13.73,"Yes"
"Male","No",17,"Yes","No","No","No internet service","No internet service","Two year","Mailed check",19.15,343.45,3.83,"No"
"Female","No",62,"Yes",NA,"DSL","Yes","Yes","Two year","Electronic check",84.95,5150.55,16.99,"No"
"Female","No",8,"Yes","No","No","No internet service","No internet service","Month-to-month","Electronic check",19.65,164.3,3.93,"Yes"
"Male","No",12,"Yes","No","No","No internet service","No internet service","Month-to-month",NA,19.35,1415.425,3.87,"No"
"Male","Yes",6,"Yes","Yes","No","No internet service","No internet service","Month-to-month","Mailed check",26.35,184.05,5.27,"No"
"Female","No",1,"Yes","No","Fiber optic","Yes","No","Month-to-month","Electronic check",85.45,1415.425,17.09,"Yes"
"Female","No",3,NA,"No","No","No internet service","No internet service","Month-to-month","Electronic check",70.3,65.95,14.05,"No"
"Male","No",11,NA,"No","DSL","Yes","No","One year","Electronic check",70.3,729.95,14.05,"No"
"Male","No",8,"Yes","No","DSL","No","No","Month-to-month","Mailed check",45.15,1415.425,9.03,"Yes"
"Male","No",56,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month","Mailed check",105.35,5794.45,21.07,"No"
"Female","Yes",44,"Yes","No","Fiber optic","Yes","Yes","One year",NA,100.3,5244.45,20.06,NA
"Male","No",49,"Yes","Yes",NA,"No","No","Month-to-month","Electronic check",70.3,4159.45,14.05,"No"
"Male","No",24,"Yes","Yes",NA,"No","No","Month-to-month","Credit card (automatic)",54.8,1415.425,10.96,"No"
"Female","Yes",29,"Yes","No","No","No internet service","No internet service",NA,"Bank transfer (automatic)",19.8,1336.65,3.96,"No"
"Male","No",44,"Yes","Yes","No","No","No internet service","One year","Electronic check",71.75,4374.55,14.35,"No"
"Male","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Two year","Bank transfer (automatic)",105.55,7542.25,21.11,"No"
"Female","No",15,"Yes","Yes","Fiber optic","No","No","Month-to-month","Mailed check",74.45,1145.7,14.89,"Yes"
"Male","No",2,"Yes","No","Fiber optic","Yes","Yes","Month-to-month","Electronic check",95.85,197.7,19.17,"Yes"
"Female","Yes",70,"Yes","Yes","Fiber optic",NA,"Yes","Two year","Credit card (automatic)",111.95,7795.95,22.39,"No"
"Male","Yes",61,"Yes","No","No","No internet service","No internet service","One year","Mailed check",70.3,1226.45,14.05,"No"
"Male","No",57,"Yes","No","Fiber optic",NA,"No",NA,NA,90.65,5199.8,18.13,"No"
"Female","Yes",72,"No","No phone service","DSL","Yes","Yes","Two year","Bank transfer (automatic)",65.7,4575.35,13.14,NA
"Female","No",11,"Yes","No","Fiber optic",NA,"No","Month-to-month","Electronic check",70.2,1415.425,14.04,"No"
"Male","Yes",6,"Yes","No","DSL","Yes","No","Month-to-month","Mailed check",60.9,414.1,12.18,"No"
"Male","Yes",57,"Yes","Yes","Fiber optic","No","No","Month-to-month","Electronic check",74.3,4018.35,14.86,"No"
"Female","Yes",36,"Yes","No","DSL",NA,"No",NA,"Credit card (automatic)",70.3,1815,14.05,"No"
"Male","No",29,"Yes",NA,"DSL","No","Yes",NA,"Credit card (automatic)",75.5,2424.45,15.1,"No"
"Female","No",37,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month","Electronic check",99.5,3762,19.9,"Yes"
"Female","No",5,"Yes","No","Fiber optic","No",NA,"Month-to-month","Electronic check",69.95,330.15,13.99,"Yes"
"Female","No",49,NA,NA,"Fiber optic",NA,"Yes","Two year","Credit card (automatic)",106.65,5174.35,21.33,"No"
"Female","No",2,"Yes","No","DSL",NA,"Yes","Month-to-month","Electronic check",60.85,111.4,12.17,"No"
"Female","Yes",64,"Yes","Yes","Fiber optic","Yes","Yes","Two year","Bank transfer (automatic)",105.35,7240.65,21.07,"No"
"Female","No",72,"Yes","Yes","Fiber optic","Yes","Yes",NA,"Electronic check",70.3,1415.425,14.05,"No"
"Female","No",66,"Yes","Yes","Fiber optic","Yes","No","One year",NA,70.3,6056.9,14.05,"No"
"Male","No",2,"Yes","No","Fiber optic","No","No","Month-to-month","Electronic check",74.2,140.1,14.84,"No"
"Male","No",9,"Yes","No","No","No internet service","No internet service","One year",NA,19.9,164.6,3.98,"No"
"Female","Yes",64,"Yes","Yes","Fiber optic","Yes",NA,"Two year","Credit card (automatic)",110.9,7922.75,22.18,"No"
"Female","Yes",65,"Yes","Yes","No","No internet service","No","Two year","Credit card (automatic)",99.05,6416.7,19.81,"No"
"Male","No",11,"Yes","Yes","Fiber optic","No","No","Month-to-month","Electronic check",74.95,825.7,14.99,"Yes"
"Female","No",37,"Yes","Yes","Fiber optic","No","No","Month-to-month","Bank transfer (automatic)",91.2,3382.3,18.24,"No"
"Male","No",44,"Yes","No","No","No internet service","No internet service","One year","Mailed check",19.4,1061.6,3.88,NA
"Male","No",12,"Yes",NA,"Fiber optic","Yes","Yes","Month-to-month","Mailed check",99.95,1132.75,19.99,"Yes"
"Female","Yes",13,"Yes","No","No","No internet service","No internet service","Two year","Bank transfer (automatic)",19.75,246.7,3.95,"No"
"Female","Yes",67,"Yes","Yes","Fiber optic","No","Yes","One year","Credit card (automatic)",94.35,6341.45,18.87,"Yes"
"Female","No",40,"Yes","Yes","DSL",NA,"No",NA,"Credit card (automatic)",56.6,2379.1,11.32,"No"
"Male","No",8,"Yes","Yes","Fiber optic","No","Yes","Month-to-month","Electronic check",70.3,649.65,14.05,"Yes"
"Male","Yes",12,"Yes","Yes","DSL","No","Yes","Month-to-month","Electronic check",69.1,1415.425,13.82,"No"
"Male","No",45,"Yes","Yes","Fiber optic","Yes","Yes","One year","Bank transfer (automatic)",102.15,4735.35,20.43,"No"
"Female","No",7,"Yes","No","DSL","Yes","Yes","Month-to-month","Bank transfer (automatic)",81.25,1415.425,2,"No"
"Female","No",42,"Yes","No","Fiber optic","No","No","Month-to-month","Credit card (automatic)",74.15,3229.4,14.83,NA
"Male","No",66,"Yes","Yes","No","No internet service","No internet service","Two year",NA,25.1,1697.7,5.02,"No"
"Female","No",1,"No","No phone service","DSL","No","No",NA,"Mailed check",70.3,25.2,14.05,"Yes"
"Female","Yes",72,"Yes","Yes","DSL","Yes",NA,"Two year","Bank transfer (automatic)",80.85,5727.45,16.17,"No"
"Female","No",7,"Yes","No","Fiber optic","No","No","Month-to-month","Bank transfer (automatic)",76.45,503.6,15.29,"Yes"
"Female","Yes",44,"Yes","No","Fiber optic","Yes","Yes","One year","Credit card (automatic)",106,4532.3,21.2,"No"
"Male","No",68,"Yes","Yes","Fiber optic","Yes","No","One year",NA,101.35,7110.75,20.27,"No"
"Male","No",67,"Yes","Yes","No","No internet service","No internet service","Two year","Credit card (automatic)",25.1,1415.425,5.02,NA
"Female","No",26,NA,"No","Fiber optic","Yes","Yes","Month-to-month","Electronic check",91.25,2351.8,18.25,"Yes"
"Male","No",44,NA,"No","Fiber optic","Yes","Yes","Month-to-month","Electronic check",100.55,4398.15,20.11,"Yes"
"Female","Yes",4,"Yes","No","No","No internet service","No internet service","Month-to-month","Mailed check",20.85,62.9,4.17,"No"
"Female","No",1,NA,"No","Fiber optic","Yes","No","Month-to-month","Electronic check",78.45,78.45,15.69,"Yes"
"Male","No",48,"Yes","No",NA,"Yes","Yes","Two year",NA,78.9,3771.5,15.78,"No"
"Female","No",72,"Yes","Yes",NA,"Yes","Yes","One year","Credit card (automatic)",109.15,7789.6,21.83,"No"
"Male","No",51,NA,"No","No","No internet service","No internet service","Two year","Mailed check",20.45,1042.65,4.09,"No"
"Male","Yes",72,"Yes",NA,"DSL","Yes","Yes","Two year","Credit card (automatic)",70.3,6562.9,14.05,"No"
"Male","Yes",8,"Yes",NA,"Fiber optic","Yes","No","Month-to-month","Credit card (automatic)",80.45,583.45,16.09,"Yes"
"Male","No",64,"Yes","Yes","Fiber optic","Yes","Yes","One year","Credit card (automatic)",104.65,6889.8,20.93,"No"
"Male","No",2,NA,"No","DSL","No","No","Month-to-month","Mailed check",54.45,87.3,10.89,NA
"Male","Yes",72,"Yes","Yes",NA,"No","No","Two year","Bank transfer (automatic)",69.85,5102.35,13.97,"No"
"Male","Yes",1,"Yes","Yes","Fiber optic","No","No","Month-to-month","Electronic check",74.35,1415.425,14.87,"Yes"
"Female","No",44,NA,NA,"Fiber optic",NA,"No","One year","Mailed check",98.6,5311.85,19.72,"No"
"Male","No",59,"Yes","Yes","Fiber optic","Yes","Yes",NA,"Electronic check",113.75,6561.25,22.75,"No"
"Male","No",12,"Yes","No","No","No internet service","No internet service","Month-to-month",NA,19.75,294.9,3.95,NA
"Female","Yes",67,"Yes","Yes","DSL","Yes","Yes","Two year",NA,75.5,1415.425,15.1,"No"
"Female","No",41,"No","No phone service","DSL","No","No","One year","Mailed check",70.3,1415.425,14.05,"No"
"Female","No",12,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month",NA,113.6,1415.425,22.72,"Yes"
"Male","Yes",64,"Yes","No","No","No internet service","No internet service","Two year","Mailed check",70.3,558.8,14.05,"No"
"Female","No",64,"Yes","No","Fiber optic","Yes","Yes","Two year","Credit card (automatic)",105.85,6725.5,21.17,"No"
"Female","No",1,"Yes","No","DSL",NA,"No","Month-to-month","Electronic check",53.95,53.95,10.79,"Yes"
"Female","Yes",44,"Yes","Yes","DSL","Yes","No","One year","Credit card (automatic)",78.35,3211.2,15.67,"No"
"Male","Yes",43,NA,NA,"DSL","No","No","Month-to-month","Bank transfer (automatic)",34,1505.35,6.8,"No"
"Female","No",44,"Yes","No","No","No internet service","No internet service","One year","Mailed check",19.3,228.75,3.86,"No"
"Male","Yes",23,"No","No phone service","DSL","No","No","Month-to-month","Bank transfer (automatic)",30.35,678.75,6.07,"No"
"Female","Yes",16,"Yes","No","DSL","No","Yes","Two year","Bank transfer (automatic)",68.25,1114.85,13.65,"No"
"Male","No",22,"Yes","No","No","No internet service","No internet service","One year","Mailed check",20.3,475.1,4.06,"No"
"Female","No",1,"Yes","No","DSL","No","No",NA,"Electronic check",49.95,49.95,9.99,"No"
"Female","Yes",10,"No","No phone service","DSL",NA,"No","Month-to-month","Electronic check",36.25,1415.425,7.25,"No"
"Female","No",44,"Yes","Yes","Fiber optic","Yes","No","One year",NA,84.05,2781.85,16.81,NA
"Male","No",13,"Yes","Yes","DSL",NA,"No","Month-to-month","Electronic check",76.2,981.45,15.24,"No"
"Female","No",46,"Yes","Yes","Fiber optic","No","Yes","One year",NA,94.15,1415.425,18.83,"No"
"Male","No",1,"Yes",NA,"DSL","No","No",NA,"Mailed check",45.8,45.8,9.16,"No"
"Female","Yes",20,"Yes","No","No","No internet service","No internet service","One year","Bank transfer (automatic)",19.7,395.6,3.94,NA
"Male","No",24,"Yes","Yes","Fiber optic","No","No","Month-to-month","Bank transfer (automatic)",84.85,2048.8,16.97,"No"
"Female","No",1,"No","No phone service","DSL","Yes","No","Month-to-month",NA,34.7,1415.425,6.94,"Yes"
"Male","No",3,"Yes","No","Fiber optic","Yes",NA,"Month-to-month","Electronic check",107.95,318.6,21.59,"No"
"Male","Yes",69,"Yes","Yes","Fiber optic","No","No","Two year",NA,79.2,5420.65,15.84,"No"
"Male","Yes",38,"Yes","Yes","Fiber optic","No","No","Month-to-month","Mailed check",80.45,3162.65,16.09,"No"
"Female","Yes",11,"Yes","Yes","Fiber optic","No","No","Month-to-month","Credit card (automatic)",70.3,864.85,14.05,"No"
"Female","No",12,"Yes","No","DSL","No","Yes","Month-to-month","Mailed check",59.8,1130.85,11.96,"No"
"Female","No",6,"No","No phone service","DSL",NA,"Yes","Month-to-month",NA,44.4,1415.425,8.88,"No"
"Female","Yes",72,"No","No phone service","DSL","Yes",NA,"Two year",NA,60,4264,12,"No"
"Male","No",12,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month","Bank transfer (automatic)",70.3,3520.75,14.05,"Yes"
"Male","Yes",66,"Yes","No","DSL","Yes","Yes","Two year","Credit card (automatic)",79.5,5196.1,15.9,"No"
"Male","Yes",12,"No","No phone service","DSL",NA,"No","Month-to-month","Credit card (automatic)",25,789.2,5,"No"
"Male","No",33,"Yes","No",NA,"No","No","Two year","Bank transfer (automatic)",80.6,2651.1,16.12,"No"
"Female","No",29,"Yes","Yes","DSL","No","Yes",NA,"Credit card (automatic)",70.55,3420.5,14.11,NA
"Male","Yes",64,"Yes","No","DSL","No","No","Two year","Credit card (automatic)",58.2,3810.8,11.64,"No"
"Male","Yes",71,"Yes","No","No","No internet service","No internet service","Two year","Credit card (automatic)",19.7,1301.1,3.94,NA
